"","aacode","welshId","usedColumns"
"2339","k7139517","1774","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; insulationthickness (325,368]; hasdisabledorsickoccupant FALSE"
"2340","k1006924","1775","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]; children [-0.5,0.5]"
"2341","j1514205","1776","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (138,175]"
"2342","k5074509","1777","builtformtype detached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (225,275]; children [-0.5,0.5]; chiefincomeearnersage (73,80]; hasdisabledorsickoccupant FALSE"
"2343","j1401302","1778","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (225,275]"
"2344","k8175108","1778","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (225,275]"
"2345","j1514205","1779","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; householdincomebeforetax (2.71e+04,3.03e+04]; hasdisabledorsickoccupant FALSE"
"2346","k8021304","1779","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; householdincomebeforetax (2.71e+04,3.03e+04]; hasdisabledorsickoccupant FALSE"
"2347","k4064723","1780","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype localauthority; externalwallconstructiontype cavity; householdincomebeforetax (8.92e+03,1.11e+04]"
"2348","j1271102","1781","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]"
"2349","j1374311","1782","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1962,1965]; morphologytype urban; tenuretype localauthority; numofbedrooms (3.5,4.5]"
"2350","j0271407","1783","builtformtype purposebuilthighriseflat; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype housingassociation; numofbedrooms (0.5,1.5]; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"2351","k7159526","1783","builtformtype purposebuilthighriseflat; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype housingassociation; numofbedrooms (0.5,1.5]; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"2352","j0482201","1784","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1962,1965]; morphologytype urban; tenuretype localauthority; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"2353","k8173723","1785","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype owneroccupied; externalwallconstructiontype cavity; insulationthickness (138,175]"
"2354","j0793310","1786","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype privaterented; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; householdincomebeforetax (8.92e+03,1.11e+04]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2355","j0903207","1786","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype privaterented; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; householdincomebeforetax (8.92e+03,1.11e+04]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2356","k3072724","1787","builtformtype detached; mainheatingfuel mains_gas; buildyear (2000,2012]; morphologytype urban; tenuretype housingassociation; numofbedrooms (1.5,2.5]"
"2357","j0141303","1788","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (62.5,87.5]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
