M2,M5,M12,M6,M8,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Warm air system,Off-peak electric,Ducted on/off,Not applicable,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Stub ducted on/off,Not applicable,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Modulating,Not applicable,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Flue recovery,Not applicable,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Condensing,Not applicable,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Ducted on/off,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Stub ducted on/off,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Modulating,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Flue recovery,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Condensing,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Ducted on/off,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Stub ducted on/off,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Modulating,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Flue recovery,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Condensing,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
