M2,M5,M12,M6,M8,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Warm air system,Bulk LPG,Modulating,old system,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, pre 1998",,72,1,1,503,,0,72,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Modulating,pre 1998,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, pre 1998",,72,1,1,503,,0,72,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Modulating,1998+,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, 1998 or later",,78,1,1,504,,0,78,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Stub ducted on/off,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Stub ducted on/off,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Stub ducted on/off,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Flue recovery,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Flue recovery,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Flue recovery,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Condensing,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,1985
Warm air system,Bulk LPG,Condensing,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,1995
Warm air system,Bulk LPG,Condensing,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,2005
Warm air system,Bulk LPG,Ducted on/off,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Ducted on/off,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Ducted on/off,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Stub ducted on/off,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Stub ducted on/off,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Stub ducted on/off,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Modulating,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Modulating,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Modulating,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, 1998 or later",,78,1,1,509,,0,78,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Flue recovery,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Flue recovery,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Flue recovery,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Condensing,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,balancedflue,mains_gas,TRUE,1985
Warm air system,Bulk LPG,Condensing,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,balancedflue,mains_gas,TRUE,1995
Warm air system,Bulk LPG,Condensing,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,balancedflue,mains_gas,TRUE,2005
Warm air system,Bulk LPG,Ducted on/off,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Ducted on/off,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Ducted on/off,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Stub ducted on/off,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Stub ducted on/off,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Stub ducted on/off,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Modulating,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Modulating,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Modulating,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, 1998 or later",,78,1,1,509,,0,78,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Flue recovery,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Flue recovery,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Flue recovery,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Condensing,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,openflue,mains_gas,TRUE,1985
Warm air system,Bulk LPG,Condensing,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,openflue,mains_gas,TRUE,1995
Warm air system,Bulk LPG,Condensing,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,openflue,mains_gas,TRUE,2005
Warm air system,Bulk LPG,Ducted on/off,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Ducted on/off,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Ducted on/off,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Stub ducted on/off,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Stub ducted on/off,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Stub ducted on/off,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Modulating,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Modulating,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Modulating,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, 1998 or later",,78,1,1,509,,0,78,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Flue recovery,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bulk LPG,Flue recovery,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Flue recovery,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bulk LPG,Condensing,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,1985
Warm air system,Bulk LPG,Condensing,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,1995
Warm air system,Bulk LPG,Condensing,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,2005
Warm air system,Bulk LPG,Ducted on/off,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Stub ducted on/off,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Modulating,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Flue recovery,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bulk LPG,Condensing,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,1995
Warm air system,Bottled gas,Ducted on/off,old system,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Ducted on/off,pre 1998,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Ducted on/off,1998+,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, 1998 or later",,76,1,1,502,rd,0,76,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Modulating,old system,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, pre 1998",,72,1,1,503,,0,72,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Modulating,pre 1998,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, pre 1998",,72,1,1,503,,0,72,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Modulating,1998+,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, 1998 or later",,78,1,1,504,,0,78,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Stub ducted on/off,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Stub ducted on/off,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Stub ducted on/off,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Flue recovery,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Flue recovery,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Flue recovery,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Condensing,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,1985
Warm air system,Bottled gas,Condensing,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,1995
Warm air system,Bottled gas,Condensing,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,2005
Warm air system,Bottled gas,Ducted on/off,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Ducted on/off,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Ducted on/off,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Stub ducted on/off,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Stub ducted on/off,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Stub ducted on/off,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Modulating,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Modulating,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Modulating,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, 1998 or later",,78,1,1,509,,0,78,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Flue recovery,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Flue recovery,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Flue recovery,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Condensing,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,balancedflue,mains_gas,TRUE,1985
Warm air system,Bottled gas,Condensing,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,balancedflue,mains_gas,TRUE,1995
Warm air system,Bottled gas,Condensing,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,balancedflue,mains_gas,TRUE,2005
Warm air system,Bottled gas,Ducted on/off,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Ducted on/off,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Ducted on/off,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Stub ducted on/off,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Stub ducted on/off,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Stub ducted on/off,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Modulating,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Modulating,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Modulating,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, 1998 or later",,78,1,1,509,,0,78,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Flue recovery,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,openflue,mains_gas,FALSE,1985
Warm air system,Bottled gas,Flue recovery,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,openflue,mains_gas,FALSE,1995
Warm air system,Bottled gas,Flue recovery,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,openflue,mains_gas,FALSE,2005
Warm air system,Bottled gas,Condensing,old system,Open,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,openflue,mains_gas,TRUE,1985
Warm air system,Bottled gas,Condensing,pre 1998,Open,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,openflue,mains_gas,TRUE,1995
Warm air system,Bottled gas,Condensing,1998+,Open,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,openflue,mains_gas,TRUE,2005
Warm air system,Bottled gas,Ducted on/off,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bottled gas,Ducted on/off,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Ducted on/off,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bottled gas,Stub ducted on/off,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bottled gas,Stub ducted on/off,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Stub ducted on/off,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bottled gas,Modulating,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bottled gas,Modulating,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Modulating,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, 1998 or later",,78,1,1,509,,0,78,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bottled gas,Flue recovery,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,1985
Warm air system,Bottled gas,Flue recovery,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Flue recovery,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,2005
Warm air system,Bottled gas,Condensing,old system,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,1985
Warm air system,Bottled gas,Condensing,pre 1998,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,1995
