M2,M5,M6,M7,M8,Heating System Type,HeatCode_4a,winterefficiency,summerefficiency,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Boiler,Gas (mains),Other,Back Boiler,Fan assisted,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,fanassistedbalancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),Other,Back Boiler,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),Other,Combi,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),Other,Standard,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, 1979 to 1997",117,66,56,66,standard,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),Other,Back Boiler,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,openflue,mains_gas,FALSE,1995
Boiler,Gas (mains),Other,Combi,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,openflue,mains_gas,FALSE,1995
Boiler,Gas (mains),Other,Standard,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, 1979 to 1997",117,66,56,66,standard,openflue,mains_gas,FALSE,1995
Boiler,Gas (mains),old system,Back Boiler,Fan assisted,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,fanassistedbalancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Combi,Fan assisted,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,fanassistedbalancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Standard,Fan assisted,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, pre 1979",116,56,46,56,standard,fanassistedbalancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Back Boiler,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,balancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Combi,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,balancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Standard,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, pre 1979",116,56,46,56,standard,balancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Back Boiler,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,openflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Combi,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,openflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,Standard,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, pre 1979",116,56,46,56,standard,openflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,CPSU,Fan assisted,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,fanassistedbalancedflue,mains_gas,FALSE,1985
