aacode,manufacturer,brand,model,qualifier,boilertype,fueltype,fluetype,condensing,annualefficiency,winterefficiency,summerefficiency,storeboilervolume,storesolarvolume,storeinsulationthickness,row
K5080721,vaillant,vaillant,ecotec pro 24,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1882
K5080724,baxi uk,baxi,solo 3 pfl system,30,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,79.4,80.3,70.2,0.0,0.0,0.0,1244
K5080726,baxi potterton,potterton,promax combi,28 he plus,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.6,89.5,79.4,0.0,0.0,0.0,1528
K5080802,baxi potterton,main,combi,30 he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.4,87.3,77.2,0.0,0.0,0.0,2884
K5080822,baxi potterton,baxi potterton,potterton promax,system he,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.6,90.6,79.9,0.0,0.0,0.0,1148
K5083006,ferroli,ferroli,modena 102,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.0,78.9,68.8,0.0,0.0,0.0,1188
K5083017,baxi heating uk,baxi,combi,105 he a,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.6,79.5,0.0,0.0,0.0,2561
K5083019,halstead boilers,halstead,ace,he 24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.7,79.6,0.0,0.0,0.0,2586
K5083122,worcester heat systems,worcester,28 cdi,rsf,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.9,79.8,69.7,0.0,0.0,0.0,3179
K5083126,worcester heat systems,worcester,greenstar,30 si,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2605
K5085509,baxi heating,baxi heating,bermuda,552,REGULAR,MAINS_GAS,OPEN_FLUE,false,65.0,66.0,56.0,0.0,0.0,0.0,449
K5085522,worcester bosch group,worcester,greenstar heatslave,18/25-oso-gb,STORAGE_COMBI,OIL,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,81.9,69.0,0.0,25.0,4473
K5087701,caradon plumbing,ideal,mexico super,rs3/60p,REGULAR,BULK_LPG,BALANCED_FLUE,false,75.2,76.1,66.0,0.0,0.0,0.0,4042
K5087710,ferroli spa,ferroli,optimax,25 ov lpg,REGULAR,BULK_LPG,FAN_ASSISTED_BALANCED_FLUE,true,90.4,91.4,80.7,0.0,0.0,0.0,1563
K5087723,baxi potterton,potterton,performa,24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.6,79.5,69.4,0.0,0.0,0.0,1264
K5090521,potterton myson,potterton,profile,100e,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,73.9,74.8,64.7,0.0,0.0,0.0,802
K5090524,ideal boilers,ideal,logic combi,24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,89.9,87.3,0.0,0.0,0.0,1902
K5090804,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5090817,baxi uk,potterton,powermax he,115 cp,STORAGE_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.5,90.3,81.2,115.0,0.0,45.0,2092
K5091103,vaillant group uk,british gas,330+,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.7,79.0,0.0,0.0,0.0,2075
K5091120,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5091123,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5091125,ideal boilers,ideal,isar,he30,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.6,79.5,0.0,0.0,0.0,2573
K5091904,baxi potterton,baxi potterton,baxi bermuda inset 2,50/4e,REGULAR,MAINS_GAS,OPEN_FLUE,false,77.5,78.4,68.3,0.0,0.0,0.0,1054
K5091915,caradon plumbing,ideal,minimser,se40,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,85.8,86.7,76.6,0.0,0.0,0.0,706
K5091916,caradon plumbing,ideal,minimser,se40,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,85.8,86.7,76.6,0.0,0.0,0.0,706
K5097201,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5097208,Vaillant,Vaillant,Ecotec Plus,630,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,90.0,79.3,0.0,0.0,0.0,1806
K5097213,worcester heat systems,worcester,24 cdi,of,INSTANT_COMBI,MAINS_GAS,OPEN_FLUE,false,76.2,77.1,67.0,0.0,0.0,0.0,935
K5097227,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5099207,vaillant,vaillant,ecotec plus,824,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1807
K5099218,baxi uk,baxi,solo 3 pfl,60,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.5,79.4,69.3,0.0,0.0,0.0,1654
K5099220,baxi potterton,potterton,performa,24i he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.4,87.3,77.2,0.0,0.0,0.0,1541
K5099222,baxi uk,baxi,solo 3 pfl system,50,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.0,78.9,68.8,0.0,0.0,0.0,1298
K5099805,baxi heating uk,baxi,combi,105 he a,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.6,79.5,0.0,0.0,0.0,2561
K5100003,ideal boilers,ideal,logic combi,24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,89.9,87.3,0.0,0.0,0.0,1902
K5100005,worcester heat systems,worcester,greenstar cdi,30 cdi,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.4,90.3,80.2,0.0,0.0,0.0,2486
K5100007,caradon ideal,caradon ideal,mexico slimline 2,rs40,REGULAR,MAINS_GAS,BALANCED_FLUE,false,65.0,66.0,56.0,0.0,0.0,0.0,230
K5100011,vaillant,vaillant,ecotec plus,824,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1807
K5100013,ideal boilers,ideal,logic+ combi,24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,89.9,87.3,0.0,0.0,0.0,1905
K5101418,biasi spa,biasi,riva compact,m90e.24s,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.2,79.1,69.0,0.0,0.0,0.0,3311
K5101420,biasi,biasi,riva advance he,m110.24sm/c,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.4,89.3,79.2,0.0,0.0,0.0,2747
K5101618,biasi (uk),biasi,riva compact he,m96.28sm/c,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,85.7,86.6,76.5,0.0,0.0,0.0,1553
K5105922,worcester heat systems,worcester,greenstar,30 si,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2605
K5107405,hepworth heating,glow-worm,30ci plus,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,79.6,80.5,70.4,0.0,0.0,0.0,3102
K5107420,ideal boilers,ideal,logic+ combi,35,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,87.3,0.0,0.0,0.0,1904
K5107422,hepworth heating,glow-worm,micron 50ff,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.9,79.8,69.7,0.0,0.0,0.0,3181
K5107426,vaillant group uk,glow-worm,ultracom 18sxi,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.6,89.6,78.9,0.0,0.0,0.0,2219
K5109308,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5109313,baxi heating uk,baxi,solo,15 he a,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.4,90.4,79.7,0.0,0.0,0.0,1780
K5109318,baxi heating uk,baxi,solo,15 he a,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.4,90.4,79.7,0.0,0.0,0.0,1780
K5109319,baxi heating uk,baxi,solo,15 he a,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.4,90.4,79.7,0.0,0.0,0.0,1780
K5109329,glow-worm,glow-worm,galaxie,246,REGULAR,MAINS_GAS,OPEN_FLUE,false,65.0,66.0,56.0,0.0,0.0,0.0,72
K5110101,ideal boilers,ideal,logic combi,35,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,87.3,0.0,0.0,0.0,1897
K5110110,baxi potterton,potterton,performa,24 eco he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.4,87.3,77.2,0.0,0.0,0.0,2888
K5110118,vaillant,vaillant,ecotec plus 415,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.7,79.0,0.0,0.0,0.0,2103
K5110129,ideal boilers,ideal,icos system,he 24,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.8,79.1,0.0,0.0,0.0,2430
K5110224,vaillant,vaillant,ecotec plus 418,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.9,79.2,0.0,0.0,0.0,2104
K5110227,vaillant,vaillant,ecotec plus 428,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.8,79.1,0.0,0.0,0.0,2050
K5112305,remeha,broag remeha,avanta plus,28c,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,79.9,0.0,0.0,0.0,2155
K5112318,worcester heat systems,worcester,24i junior,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.0,78.9,68.8,0.0,0.0,0.0,3335
K5112320,vaillant,vaillant,ecomax,828/2e,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.7,79.6,0.0,0.0,0.0,1603
K5112322,baxi potterton,baxi,bermuda,51/5,REGULAR,MAINS_GAS,OPEN_FLUE,false,78.0,79.0,68.3,0.0,0.0,0.0,1663
K5112323,alpha therm,alpha,he cb25,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,85.9,86.8,76.7,0.0,0.0,0.0,1547
K5114303,baxi uk,baxi,solo 3 pfl,70,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.2,79.1,69.0,0.0,0.0,0.0,1560
K5114307,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5114318,vaillant,vaillant,ecotec plus,615,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,90.0,79.3,0.0,0.0,0.0,1810
K5114320,vokera,vokera,linea,28he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.5,89.4,79.3,0.0,0.0,0.0,2583
K5115806,grant engineering (uk),grant,vortex eco,utility 21-26,REGULAR,OIL,FAN_ASSISTED_BALANCED_FLUE,true,90.6,91.7,80.0,0.0,0.0,0.0,4289
K5115812,baxi potterton,potterton,performa,24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.6,79.5,69.4,0.0,0.0,0.0,1264
K5115813,caradon plumbing,ideal,classic,lx ff250,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,76.7,77.6,67.5,0.0,0.0,0.0,3349
